Species Name,Stats,Basic Information,Evolutions,Size,Breeding Information,Diet,Habitat,Capabilities,Skills,Level Up Moves,TM/HM Moves,Tutor Moves
BULBASAUR,"HP:   5
Attack:  5
Defense:  5
Special Attack: 7
Special Defense: 7
Speed:   5
","[T: Grass, Poison]
[BA: Confidence, Photosynthesis]
[AA: Chlorophyll, Leaf Guard]
[HA: Courage   ]","1: Bulbasaur    
2: Ivysaur Minimum 15   
3: Venusaur Minimum 30    
","Height: 2’ 4”
Weight: 15.2 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Plant
Average Hatch Rate: 10 Days
  
","Herbivore
Phototroph","Forest
Grassland
Rainforest","Overland 5
Swim 3
Jump 0/2
Power 2
Nature-walk (Grassland, Forest)
Underdog","
Athl 3d6+2
Acro 2d6
Combat 2d6
Stealth 2d6
Percep 2d6
Focus 2d6+1"," 1  Tackle - Normal
 3  Growl - Normal
 7  Leech Seed - Grass
 9  Vine Whip - Grass
 13  Poison Powder - Poison
 13  Sleep Powder - Grass
 15  Take Down - Normal
 19  Razor Leaf - Grass
 21  Sweet Scent - Normal
 25  Growth - Normal
 27  Double-Edge - Normal
 31  Worry Seed - Grass
 33  Synthesis - Grass
 37  Seed Bomb - Grass","A1 Cut, A4 Strength, 06 Toxic, 09 Venoshock, 10 Hidden Power, 11 Sunny Day, 16 Light Screen, 17 Protect, 20 Safeguard, 21 Frustration, 22 So-lar Beam,  27 Return, 32 Double Team, 36 Sludge 
Bomb , 42 Facade, 44 Rest, 45 Attract, 48 Round, 49 
Echoed Voice, 53 Energy Ball, 70 Flash, 75 Swords Dance , 86 Grass Knot, 87 Swagger, 88 Sleep Talk, 
90 Substitute, 94 Rock Smash, 96 Nature Power, 100 Confide
Egg Move List
 Amnesia, Charm, Curse, Endure, Giga 
Drain, Grass Whistle, Grassy Terrain, Ingrain, Leaf Storm , Light Screen, Magical Leaf, Nature Power, 
Petal Dance, Power Whip, Safeguard, Skull Bash, Sludge
","
 Bind, Body Slam, Bullet Seed,  Defense Curl, 
Fury Cutter, Giga Drain, Grass Pledge, Knock Off, Mud-Slap, Natural Gift, Secret Power, Seed Bomb, Sleep Talk, Snore, String Shot, Synthesis, Worry Seed
"
IVYSAUR,"HP:   6
Attack:  6
Defense:  6
Special Attack: 8
Special Defense: 8
Speed:   6
","[T: Grass, Poison]
[BA: Confidence, Photosynthesis]
[AA: Chlorophyll, Leaf Guard]
[HA: Courage   ]","1: Bulbasaur    
2: Ivysaur Minimum 15   
3: Venusaur Minimum 30    
","Height: 3’ 3”
Weight: 28.7 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Plant
","Omnivore
Phototroph","Forest
Grassland
Rainforest","Overland 6
Swim 3
Jump 1/1
Power 3
. Naturewalk (Grassland, Forest)
Underdog","
Athl 4d6+3
Acro 2d6
Combat 3d6
Stealth 2d6
Per -
cep 2d6
Focus 3d6+2","  3  Growl - Normal
  7  Leech Seed - Grass
  9  Vine Whip - Grass
 13  Poison Powder - Poison
 13  Sleep Powder - Grass
 15  Take Down - Normal
 20  Razor Leaf - Grass
 23  Sweet Scent - Normal
 28  Growth - Normal
 31  Double-Edge - Normal
 36  Worry Seed - Grass
 39  Synthesis - Grass
 44  Solar Beam - Grass"," A1 Cut, A4 Strength, 06 Toxic, 09 Venoshock, 10 Hidden Power, 11 Sunny Day, 16 Light Screen, 17 Protect, 20 Safeguard, 21 Frustration, 22 Solar Beam, 27 Return, 32 Double Team, 36 Sludge Bomb, 42 Fa-cade, 44 Rest, 45 Attract, 48 Round, 49 Echoed Voice, 53 Energy Ball, 70 Flash, 75 Swords Dance, 86 Grass Knot,  87 Swagger, 88 Sleep Talk, 90 Substitute, 94 
Rock Smash, 96 Nature Power, 100 Confide
","
  Bind, Body Slam, Bullet Seed, Defense Curl, 
Endure, Fury Cutter, Giga Drain, Grass Pledge, Knock Off, Leech Seed, Mud-Slap, Natural Gift, Secret Power, Seed Bomb,  Sleep Talk, Snore, String 
Shot, Synthesis, Tackle, Worry Seed
"
VENUSAUR,"HP:   8
Attack:  8
Defense:  8
Special Attack: 10
Special Defense: 10
Speed:   8
","[T: Grass, Poison]
[BA: Confidence, Photosynthesis]
[AA: Chlorophyll, Aroma Veil]
[HA: Courage   ]","1: Bulbasaur    
2: Ivysaur Minimum 15   
3: Venusaur Minimum 30     
","Height: 6’ 7”
Weight: 220.5 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Plant
","Omnivore
Phototroph","Forest
Grassland
Rainforest","Overland 6
Swim 4
Jump 2/2
Power 8
Naturewalk (Grassland, Forest)
Alluring (while in Rain only)","
Athl 5d6+3
Acro 1d6
Combat 4d6
Stealth 1d6
Per -
cep 2d6
Focus 5d6+3","  3  Growl - Normal
  7  Leech Seed - Grass
  9  Vine Whip - Grass
 13  Poison Powder - Poison
 13  Sleep Powder - Grass
 15  Take Down - Normal
 20  Razor Leaf - Grass
 23  Sweet Scent - Normal
 28  Growth - Normal
 31  Double-Edge - Normal
 32  Petal Dance - Grass
 39  Worry Seed - Grass
 45  Synthesis - Grass
 50  Petal Blizzard - Grass
 53  Solar Beam - Grass"," A1 Cut, A4 Strength, 05 Roar, 06 Toxic, 09 Veno-shock, 10 Hidden Power, 11 Sunny Day, 15 Hyper Beam, 16 Light Screen, 17 Protect, 20 Safeguard, 21 Frustration, 22 Solar Beam, 26 Earthquake, 27 Re-turn, 32 Double Team, 36 Sludge Bomb, 42 Facade, 44 Rest, 45 Attract, 48 Round, 49 Echoed Voice, 53 Energy Ball, 68 Giga Impact, 70 Flash, 75 Swords Dance , 78 Bulldoze, 86 Grass Knot, 87 Swagger, 88 
Sleep Talk, 90 Substitute, 94 Rock Smash, 96 Nature Power, 100 Confide     ","  Bind, Body Slam, Block, Bullet Seed, Defense 
Curl, Frenzy Plant, Fury Cutter, Giga Drain, Grass Pledge, Knock Off, Mud-Slap, Natural Gift, Outrage, Secret Power, Seed Bomb, Sleep Talk, Snore, String Shot, Synthesis, Worry Seed 
"
CHIKORITA,"HP:   5
Attack:  5
Defense:  7
Special Attack: 5
Special Defense: 7
Speed:   5
","[T: Grass]
[BA: Aroma Veil, Sap Sipper]
[AA: Leaf Guard, Healer ]
[HA: Courage   ]","1: Chikorita  
2: Bayleef Minimum 15  
3: Meganium Minimum 30   
","Height: 2’ 11”
Weight: 14.1 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Plant
Average Hatch Rate: 10 Days   
","Phototroph
Herbivore","Forest
Grassland","Overland 5
Swim 3
Jump 1/1
Power 2
Nature-walk (Grassland, Forest)
Underdog","
Athl 3d6+2
Acro 3d6
Combat 2d6
Stealth 3d6
Percep 2d6
Focus 2d6","  1  Tackle - Normal
  3  Growl - Normal
  6  Razor Leaf - Grass
  9  Poison Powder - Poison
 12  Synthesis - Grass
 17  Reflect - Psychic
 20  Magical Leaf - Grass
 23  Natural Gift - Normal
 28  Sweet Scent - Normal
 31  Light Screen - Psychic
 34  Body Slam - Normal
 39  Safeguard - Normal
 42  Aromatherapy - Grass
 45  Solar Beam - Grass","  A1 Cut, 06 Toxic, 10 Hidden Power, 11 Sunny Day, 16 Light Screen, 17 Protect, 20 Safeguard, 21 Frus-tration, 22 Solar Beam, 27 Return, 32 Double Team, 33 Reflect, 42 Facade, 44 Rest, 45 Attract, 48 Round, 49 Echoed Voice, 53 Energy Ball, 70 Flash, 75 Swords Dance, 86 Grass Knot, 87 Swagger, 88 Sleep Talk, 90 Substitute, 96 Nature Power
Egg Move List
 Ancient Power, Aromatherapy, Body Slam, 
Counter, Flail, Grass Whistle, Grassy Terrain, Heal Pulse, Ingrain, Leaf Storm, Leech Seed, Nature Power, Refresh, Vine Whip, Wring Out   ","  Ancient Power, Bullet Seed , Double-Edge, 
Fury Cutter, Giga Drain, Grass Pledge, Iron Tail, Magic Coat, Mud-Slap, Role Play, Secret Power, Seed 
Bomb,  Sleep Talk, Snore, Synthesis, Worry Seed
"
BAYLEEF,"HP:   6
Attack:  6
Defense:  8
Special Attack: 6
Special Defense: 8
Speed:   6
","[T: Grass]
[BA: Confidence, Sap Sipper]
[AA: Leaf Guard, Healer ]
[HA: Courage   ]","1: Chikorita  
2: Bayleef Minimum 15  
3: Meganium Minimum 30   
","Height: 3’ 11”
Weight: 34.8 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Plant
","Phototroph
Herbivore","Forest
Grassland","Overland 7
Swim 4
Jump 2/2
Power 3
Naturewalk (Grassland, Forest)
Underdog","
Ath 4d6+4
Acro 3d6
Combat 2d6+2
Stealth 3d6
Percep 3d6
Focus 3d6","  3  Growl - Normal
  6  Razor Leaf - Grass
  9  Poison Powder - Poison
 12  Synthesis - Grass
 17  Reflect - Psychic
 20  Magical Leaf - Grass
 23  Natural Gift - Normal
 28  Sweet Scent - Normal
 31  Light Screen - Psychic
 34  Body Slam - Normal
 39  Safeguard - Normal
 42  Aromatherapy - Grass
 45  Solar Beam - Grass","  A1 Cut, A4 Strength, 06 Toxic, 10 Hidden Power, 11 Sunny Day, 16 Light Screen, 17 Protect, 20 Safeguard, 21 Frustration, 22 Solar Beam, 27 Return, 32 Double Team, 33 Reflect, 42 Facade, 44 Rest, 45 Attract, 48 Round, 49 Echoed Voice, 53 Energy Ball, 70 Flash, 75 Swords Dance, 86 Grass Knot, 87 Swagger, 88 Sleep Talk, 90 Substitute, 94 Rock Smash, 96 Nature Power
","
  Ancient Power, Bullet Seed,  Counter, 
Double-Edge, Fury Cutter, Giga Drain, Grass Pledge, Iron Tail, Magic Coat, Mud-Slap, Role Play, Secret Power, Seed Bomb , Sleep Talk, Snore, Synthe-
sis, Worry Seed
"
MEGANIUM,"HP:   8
Attack:  8
Defense:  10
Special Attack: 8
Special Defense: 10
Speed:   8
","[T: Grass]
[BA: Aroma Veil, Sap Sipper]
[AA: Leaf Guard, Healer ]
[HA: Courage   ]","1: Chikorita  
2: Bayleef Minimum 15  
3: Meganium Minimum 30   
","Height: 5’ 11”
Weight: 221.6 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Plant
","Phototroph
Herbivore","Forest
Grassland","Overland 8
Swim 4
Jump 2/2
Power 4
Naturewalk (Grassland, Forest)
","
Athl 5d6+4
Acro 3d6
Combat 3d6+2
Stealth 3d6
Percep 3d6
Focus 5d6"," 3  Growl - Normal
 6  Razor Leaf - Grass
 9  Poison Powder - Poison
 12  Synthesis - Grass
 18  Reflect - Psychic
 22  Magical Leaf - Grass
 26  Natural Gift - Normal
 32  Petal Dance - Grass
 34  Sweet Scent - Normal
 40  Light Screen - Psychic
 46  Body Slam - Normal
 54  Safeguard - Normal
 60  Aromatherapy - Grass
 66  Solar Beam - Grass
 70  Petal Blizzard - Grass"," A1 Cut, A4 Strength, 06 Toxic, 10 Hidden Power, 11 Sunny Day, 15 Hyper Beam, 16 Light Screen, 17 Protect, 20 Safeguard, 21 Frustration, 22 Solar Beam,  26 Earthquake, 27 Return, 32 Double Team, 
33 Reflect, 42 Facade, 44 Rest, 45 Attract, 48 Round, 49 Echoed Voice, 53 Energy Ball, 68 Giga Impact, 70 Flash, 75 Swords Dance, 78 Bulldoze, 82 Dragon Tail, 86 Grass Knot, 87 Swagger, 88 Sleep Talk, 90 Substitute, 94 Rock Smash, 96 Nature Power
","
  Ancient Power, Bullet Seed,  Counter, 
Double-Edge, Frenzy Plant, Fury Cutter, Giga Drain, Grass Pledge, Iron Tail, Magic Coat, Mud-Slap, Outrage, Role Play, Secret Power, Seed Bomb,  
Sleep Talk, Snore, Synthesis, Worry Seed
"
TREECKO,"HP:   4
Attack:  5
Defense:  4
Special Attack: 7
Special Defense: 6
Speed:   7
","[T: Grass]
[BA: Unburden, Leaf Guard]
[AA: Marvel Scale, Covert ]
[HA: Courage   ]","1: Treecko  
2: Grovyle Minimum 15  
3: Sceptile Minimum 30     
","Height: 1’ 8”
Weight: 11 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Dragon
Average Hatch Rate: 10 Days 
  
",Herbivore,Rainforest,"Overland 5
Swim 3
Jump 2/2
Power 2
Wallclimb-er
Naturewalk (Grassland, Forest)
Underdog","
Athl 3d6
Acro 3d6+3
Combat 2d6
Stealth 3d6+3

Percep 3d6
Focus 2d6","  1  Pound - Normal
  3  Leer - Normal
  5  Absorb - Grass
 9  Quick Attack - Normal
 13  Mega Drain - Grass
 17  Pursuit - Dark
 21  Giga Drain - Grass
 25  Agility - Psychic
 29  Slam - Normal
 33  Detect - Fighting
 37  Energy Ball - Grass
 41  Quick Guard - Fighting
 45  Endeavor - Normal
 49  Screech - Normal","  A1 Cut, A4 Strength, 06 Toxic, 10 Hidden 
Power, 11 Sunny Day, 17 Protect, 20 Safeguard, 21 Frustration, 22 Solar Beam, 27 Return, 28 Dig, 31 Brick Break, 32 Double Team, 39 Rock Tomb, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 48 Round, 53 Energy Ball, 56 Fling, 62 Acrobatics, 70 Flash, 75 Swords Dance, 80 Rock Slide, 86 Grass Knot, 87 Swagger, 88 Sleep Talk, 90 Substitute, 94 Rock Smash, 96 Nature Power, 98 Power-Up Punch, 100 Confide 
Egg Move List
 Bullet Seed , Crunch, Crush Claw, Dou-
ble Kick, Dragon Breath, Endeavor, Grass Whistle, 
Grassy Terrain, Leaf Storm , Leech Seed, Magical 
Leaf , Mud Sport, Natural Gift, Razor Wind, Synthe-
sis, Worry Seed 
  ","
  Body Slam, Counter, Double-Edge, Drain 
Punch, Dynamic Punch, Endeavor, Focus Punch, 
Fury Cutter, Giga Drain, Grass Pledge, Iron Tail, Low Kick, Mega Kick, Mega Punch, Mud-Slap, Secret Power, Seed Bomb , Seismic Toss, Sleep Talk, Snore, 
Swift, Synthesis, Thunder Punch, Worry Seed
"
GROVYLE,"HP:   5
Attack:  7
Defense:  5
Special Attack: 9
Special Defense: 6
Speed:   7
","[T: Grass]
[BA: Unburden, Leaf Guard]
[AA: Marvel Scale, Covert ]
[HA: Courage   ]","1: Treecko  
2: Grovyle Minimum 15  
3: Sceptile Minimum 30     
","Height: 2’ 11”
Weight: 47.6 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Dragon
",Herbivore,Rainforest,"
Overland 8
Swim 4
Jump 3/3
Power 3
Wallclimb-er
Naturewalk (Grassland, Forest)
Underdog","
Athl 4d6
Acro 4d6+3
Combat 3d6+2
Stealth 
5d6+3
Percep 4d6
Focus 3d6"," 1  Leer - Normal
 5  Absorb - Grass
 9  Quick Attack - Normal
 13  Mega Drain - Grass
 16  Fury Cutter - Bug
 18  Pursuit - Dark
 23  Leaf Blade - Grass
 28  Agility - Psychic
 33  Slam - Normal
 38  Detect - Fighting
 43  X-Scissor - Bug
 48  False Swipe - Normal
 53  Quick Guard - Fighting
 58  Leaf Storm - Grass
 63  Screech - Normal"," A1 Cut, A4 Strength, 06 Toxic, 10 Hidden 
Power, 11 Sunny Day, 17 Protect, 20 Safeguard, 21 Frustration, 22 Solar Beam, 27 Return, 28 Dig, 31 Brick Break, 32 Double Team, 39 Rock Tomb, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 47 Low Sweep, 48 Round, 53 Energy Ball, 54 False Swipe, 56 Fling, 62 Acrobatics, 70 Flash, 75 Swords Dance, 80 Rock Slide, 81 X-Scissor, 86 Grass Knot, 
87 Swagger, 88 Sleep Talk, 90 Substitute, 94 Rock Smash, 96 Nature Power, 98 Power-Up Punch, 100 Confide      
","
 Body Slam, Bullet Seed , Counter, 
Double-Edge, Drain Punch, Dynamic Punch, 
Endeavor, Focus Punch, Fury Cutter, Giga Drain, Grass Pledge, Iron Tail, Low Kick, Mega Kick, 
Mega Punch, Mud-Slap, Secret Power, Seed Bomb , 
Seismic Toss, Sleep Talk, Snore, Swift, Synthesis, 
Thunder Punch, Worry Seed
"
SCEPTILE,"HP:   7
Attack:  9
Defense:  7
Special Attack: 11
Special Defense: 9
Speed:   12
","[T: Grass]
[BA: Unburden, Leaf Guard]
[AA: Marvel Scale, Covert ]
[HA: Courage   ]","1: Treecko  
2: Grovyle Minimum 15  
3: Sceptile Minimum 30   
","Height: 5’ 7”
Weight: 115.1 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Dragon
",Omnivore,Rainforest,"Overland 8
Swim 5
Jump 3/3
Power 5
Wallclimb-er
Naturewalk (Grassland, Forest)
","Athl 4d6
Acro 5d6+2
Combat 5d6
Stealth 5d6+3
Percep 4d6
Focus 3d6"," 1  Leer - Normal
 5  Absorb - Grass
 9  Quick Attack - Normal
 13  Mega Drain - Grass
 16  Fury Cutter - Bug
 18  Pursuit - Dark
 23  Leaf Blade - Grass
 28  Agility - Psychic
 33  Slam - Normal
 36  Dual Chop - Dragon
 39  Detect - Fighting
 45  X-Scissor - Bug
 51  False Swipe - Normal
 57  Quick Guard - Fighting
 63  Leaf Storm - Grass
 69  Screech - Normal"," 
 A1 Cut, A4 Strength, 01 Hone Claws, 02 Dragon 
Claw, 05 Roar, 06 Toxic, 10 Hidden Power, 11 Sunny Day, 15 Hyper Beam, 17 Protect, 20 Safeguard, 21 Frustration, 22 Solar Beam, 26 Earthquake, 27 Return, 28 Dig, 31 Brick Break, 32 Double Team, 39 Rock Tomb, 40 Aerial Ace, 42 Facade, 44 Rest, 45 Attract, 47 Low Sweep, 48 Round, 52 Focus Blast, 53 Energy Ball, 54 False Swipe, 56 Fling, 62 Acrobatics, 68 Giga Impact, 70 Flash, 75 Swords Dance, 78 Bulldoze, 80 Rock Slide, 81 X-Scissor, 86 Grass Knot , 87 Swagger, 88 Sleep Talk, 90 Substitute, 94 Rock 
Smash, 96 Nature Power, 98 Power-Up Punch, 100 Con-
fide 
  
","
 Body Slam, Bullet Seed , Counter, Double-Edge, 
Dragon Pulse, Drain Punch, Dynamic Punch, Endeavor, 
Focus Punch, Frenzy Plant, Fury Cutter, Giga Drain, Grass Pledge, Iron Tail, Low Kick, Mega Kick, Mega Punch, Mud-Slap, Night Slash (N), Outrage, Rock Climb, Secret Power, Seed Bomb , Seismic Toss, Sleep Talk, Snore, 
Swift, Synthesis, Thunder Punch, Worry Seed
"
TURTWIG,"HP:   6
Attack:  7
Defense:  6
Special Attack: 5
Special Defense: 6
Speed:   3
","[T: Grass]
[BA: Shell Armor, Discipline]
[AA: Filter, Sturdy ]
[HA: Courage   ]","1: Turtwig  
2: Grotle Minimum 15  
3: Torterra Minimum 30   
","Height: 1’ 4”
Weight: 22.5 lbs.","Gender Ratio: 87.5%
Egg Group: Monster, Plant
Average Hatch Rate: 10 Days   
","Herbivore
Phototroph","Forest
Marsh
Rainforest","Overland 4
Swim 2
Burrow 2
Jump 1/1
Power 3
Naturewalk (Grassland, Forest)
Underdog","
Athl 2d6
Acro 2d6
Combat 2d6
Stealth 3d6
Per -
cep 1d6
Focus 3d6+2"," 1  Tackle - Normal
 5  Withdraw - Water
 9  Absorb - Grass
 13  Razor Leaf - Grass
 17  Curse - Ghost
 21  Bite - Dark
 25  Mega Drain - Grass
 29  Leech Seed - Grass
 33  Synthesis - Grass
 37  Crunch - Dark
 41  Giga Drain - Grass
 45  Leaf Storm - Grass","  A1 Cut, A4 Strength, 06 Toxic, 10 Hidden 
Power, 11 Sunny Day, 16 Light Screen, 17 Protect, 20 Safeguard, 21 Frustration, 22 Solar Beam, 27 Return, 32 Double Team, 33 Reflect, 42 Facade, 44 Rest, 45 Attract, 48 Round, 53 Energy Ball, 70 Flash, 75 Swords Dance, 86 Grass Knot, 87 Swagger, 88 Sleep Talk, 90 Substitute, 94 Rock Smash  
Egg Move List
  Amnesia, Body Slam, Double-Edge, Earth 
Power , Grassy Terrain, Growth, Sand Tomb , Seed 
Bomb , Spit Up, Stockpile, Superpower, Swallow, 
Thrash, Tickle, Wide Guard, Worry Seed   ","  Bullet Seed , Earth Power, Giga Drain, 
Grass Pledge, Iron Tail, Mud-Slap , Natural Gift, 
Rock Climb, Secret Power, Seed Bomb , Sleep Talk, 
Snore, Stealth Rock, Superpower, Synthesis, Worry Seed 
"
